date,coal_price_usd,nickel_price_usd,usd_idr,coal_price_idr,nickel_price_idr,year,month,month_name
2010-05-01,107.93515037594,21930.0,9160.2380952381,988711.6762889386,200884021.42857155,2010,5,May
2010-06-01,104.483766233766,19411.29545454545,9130.63636363636,954003.2753837048,177237480.14256185,2010,6,Jun
2010-07-01,102.861525974026,19548.522727272728,9034.59090909091,929311.8074601537,176612905.71797523,2010,7,Jul
2010-08-01,96.8469387755101,21448.785714285717,8968.54545454545,868576.1725417426,192364409.62337655,2010,8,Aug
2010-09-01,100.117207792208,22690.13636363636,8975.54545454545,898606.5493211349,203656350.30165276,2010,9,Sep
2010-10-01,103.207142857143,23793.67857142857,8924.57142857143,921079.5183673482,212348383.95918366,2010,10,Oct
2010-11-01,112.583766233766,22836.227272727272,8939.31818181818,1006422.108471072,204140301.6632231,2010,11,Nov
2010-12-01,123.785714285714,24099.57142857143,9019.21739130435,1116450.2670807429,217359273.75155288,2010,12,Dec
2011-01-01,140.993571428571,25621.225,9030.52380952381,1273245.803775506,231373082.39166665,2011,1,Jan
2011-02-01,134.624464285714,28412.175,8913.55,1199981.8936339258,253253342.47124997,2011,2,Feb
2011-03-01,135.971273291925,26710.34782608696,8756.73913043478,1190664.9694504412,233895547.99621925,2011,3,Mar
2011-04-01,131.525595238095,26332.16666666667,8645.71428571429,1137132.7176870734,227660389.52380967,2011,4,Apr
2011-05-01,127.962857142857,24164.55,8555.40909090909,1094774.5912987,206737610.74772725,2011,5,May
2011-06-01,128.362012987013,22420.93181818182,8559.27272727273,1098685.4769775684,191906870.23140502,2011,6,Jun
2011-07-01,128.989285714286,23847.952380952385,8526.57142857143,1099836.3581632678,203341269.4013606,2011,7,Jul
2011-08-01,127.462012987013,21864.68181818182,8521.26086956522,1086137.0636222477,186314657.60276687,2011,8,Aug
2011-09-01,130.561850649351,20377.59090909091,8717.59090909091,1138184.8022948673,177643501.2582645,2011,9,Sep
2011-10-01,127.912755102041,19039.047619047615,8861.7619047619,1133532.3802964052,168719506.8934239,2011,10,Oct
2011-11-01,122.745292207792,17873.0,8994.04545454545,1103976.7374483447,160750574.40909085,2011,11,Nov
2011-12-01,118.176428571428,18246.0375,9047.72727272727,1069228.0957792155,165085171.10795447,2011,12,Dec
2012-01-01,123.085714285714,19908.61904761905,9043.63636363636,1113142.4415584386,180046311.1688311,2012,1,Jan
2012-02-01,124.966836734694,20393.66666666667,8989.7619047619,1123422.108236152,183334207.69841263,2012,2,Feb
2012-03-01,114.150974025974,18660.80681818182,9134.5,1042712.0722402595,170457139.88068184,2012,3,Mar
2012-04-01,110.353759398496,17892.81578947368,9158.2380952381,1010646.0032760457,163866667.19423565,2012,4,Apr
2012-05-01,103.81948051948,16968.31818181818,9245.5652173913,959869.777978538,156881692.37944657,2012,5,May
2012-06-01,92.7546992481201,16603.68421052632,9397.61904761905,871673.3284103099,156035098.9974938,2012,6,Jun
2012-07-01,91.3641233766233,16128.40909090909,9427.77272727273,861360.19062131,152054975.36157027,2012,7,Jul
2012-08-01,93.456331168831,15703.98863636364,9486.65217391304,886587.7072487277,148978277.9362648,2012,8,Aug
2012-09-01,93.181607142857,17287.9625,9546.5,889558.2125892844,165039534.00625002,2012,9,Sep
2012-10-01,86.885403726708,17168.73913043478,9588.73913043478,833121.4705779089,164626560.7202268,2012,10,Oct
2012-11-01,87.2196428571427,16335.36363636364,9612.68181818182,838414.6750811675,157026653.0206612,2012,11,Nov
2012-12-01,96.0761278195487,17448.5,9629.28571428571,925144.4850966682,168016591.7857142,2012,12,Dec
2013-01-01,96.9521103896102,17494.06818181818,9644.65217391304,935069.3822346111,168724202.72035566,2013,1,Jan
2013-02-01,100.347321428571,17690.1,9677.35,971096.1510267815,171193289.23499998,2013,2,Feb
2013-03-01,97.3167857142855,16731.7,9706.09523809524,944565.9904081614,162399473.69523814,2013,3,Mar
2013-04-01,93.233163265306,15629.30952380952,9720.45454545455,906268.7256493499,151923992.8030303,2013,4,Apr
2013-05-01,93.1260204081631,14948.226190476193,9755.33333333333,908475.3710884334,145824929.23015872,2013,5,May
2013-06-01,89.6426785714284,14280.275,9877.8,885472.4503928554,141057700.39499998,2013,6,Jun
2013-07-01,82.222360248447,13750.3152173913,10073.3913043478,828258.0087496584,138512305.74291077,2013,7,Jul
2013-08-01,82.2214285714284,14308.2619047619,10520.7727272727,865032.9633116843,150533971.62229392,2013,8,Aug
2013-09-01,83.2959183673468,13801.39285714286,11346.2380952381,945095.3221574333,156593889.40306133,2013,9,Sep
2013-10-01,85.4436335403726,14117.65217391304,11376.3043478261,972032.7797394008,160606707.80718353,2013,10,Oct
2013-11-01,88.3632653061223,13684.0119047619,11602.4285714286,1025228.4740524789,158767770.69557855,2013,11,Nov
2013-12-01,89.4444642857142,13924.55,12098.7272727273,1082164.1794480532,168469332.8454549,2013,12,Dec
2014-01-01,87.9735389610388,14101.25,12176.3043478261,1071192.5849449455,171701111.6847828,2014,1,Jan
2014-02-01,83.0276785714285,14203.55,11935.1,990943.6465178563,169520789.605,2014,2,Feb
