date,coal_price_usd,nickel_price_usd,usd_idr,coal_price_idr,nickel_price_idr,year,month,month_name,coal_mom_change,nickel_mom_change,coal_yoy_change,nickel_yoy_change,coal_ma3,coal_ma12,nickel_ma3,nickel_ma12,coal_volatility,nickel_volatility,coal_nickel_ratio,coal_above_ma12,nickel_above_ma12,market_period,coal_diff,nickel_diff
2005-04-01,54.9107142857143,16138.33333333333,9550.33333333333,524415.625,154126462.7777777,2005,4,Apr,0.6381934216985963,-0.6254434989649282,-3.755868544600871,26.81486836556417,54.311607142857135,58.821875000000006,15931.279365079365,14292.381042853343,4.04717305503018,1362.7535753997934,0.003402502176126,0,1,China boom,0.3482142857142989,-101.57142857142935
2005-05-01,54.9776785714286,17002.25,9474.90909090909,520908.5064935067,161094773.09090906,2005,5,May,0.1219512195122174,5.353196323453502,-9.08084163898113,51.41907299730255,54.8169642857143,58.36428571428573,16460.162698412696,14773.518104256853,4.153078820410834,1191.1348162114004,0.0032335531221708,0,1,China boom,0.06696428571429891,863.9166666666697
2005-06-01,54.6428571428571,16113.18181818182,9627.52272727273,526075.3490259738,155130024.1632232,2005,6,Jun,-0.6090133982948776,-5.229120744714255,-14.357682619647385,18.48482215076908,54.84375,57.60089285714287,16417.921717171717,14983.002952741705,3.896369851921232,1186.9087804919438,0.0033911897575188,0,1,China boom,-0.33482142857149455,-889.0681818181802
2005-07-01,54.5357142857143,14587.59523809524,9810.28571428571,535010.9387755101,143108477.170068,2005,7,Jul,-0.1960784313724484,-9.467941200571172,-17.067209775967427,-2.879300802685103,54.71875,56.665625000000006,15901.00901875902,14946.96354076479,3.005203663291928,1192.2348893152252,0.0037384992793942,0,0,China boom,-0.10714285714280436,-1525.5865800865795
2005-08-01,50.6907467532467,14962.0,9967.52173913043,505261.1202357418,149134060.2608695,2005,8,Aug,-7.050366136810271,2.5665968639368986,-20.149597238204965,9.695145793766049,53.2897727272727,55.59967532467533,15220.925685425687,15057.161953463205,2.610172573176231,1119.2942798404144,0.0033879659639918,0,0,China boom,-3.8449675324675994,374.40476190475965
2005-09-01,48.3214285714286,14154.54545454545,10216.5909090909,493680.2678571427,144611200.41322297,2005,9,Sep,-4.674064466541616,-5.396701947965177,-18.55530474040622,5.392123681752281,51.182629870129865,54.682264610389616,14568.046897546898,15117.510438311689,3.073319044287393,1040.347714505136,0.0034138453069088,0,0,China boom,-2.3693181818181017,-807.4545454545496
2005-10-01,44.5280612244898,12431.11904761905,10080.7619047619,448876.7832847422,125315151.32879812,2005,10,Oct,-7.85027980149936,-12.17578065265923,-26.60569746662467,-13.543557168784028,47.84674551638836,53.337132807668524,13849.2215007215,14955.230676406927,3.6859041417023,1288.4122529427814,0.0035819833318238,0,0,China boom,-3.793367346938801,-1723.426406926401
2005-11-01,40.6412337662338,12235.04545454545,10041.3636363636,408093.4068772126,122856540.51652844,2005,11,Nov,-8.728939350537669,-1.577280310183771,-28.19343458245488,-13.162036998054694,44.49690785405073,52.00738443104515,12940.23665223665,14800.691774891777,5.034221198974615,1496.159310022889,0.0033217068066661,0,0,China boom,-3.8868274582559934,-196.0735930735991
2005-12-01,41.6892857142857,13490.45,9846.27272727273,410484.0769480519,132830649.9136364,2005,12,Dec,2.5787896944276856,10.260726452701109,-25.53110047846897,-1.994381876709184,42.28619356833644,50.81631300247372,12718.8715007215,14777.814592352091,5.660210859304762,1515.410710658054,0.0030902813259962,0,0,China boom,1.0480519480518993,1255.4045454545503
2006-01-01,45.6428571428572,14660.80952380952,9475.5,432488.8928571434,138918500.6428571,2006,1,Jan,9.483423284502868,8.675466895541062,-19.690828541804063,0.6664459621287033,42.65779220779224,49.88372371675943,13462.101659451657,14785.902886002885,5.49821567564862,1514.4230024001108,0.0031132562679251,0,0,China boom,3.9535714285715002,1170.3595238095186
